Results:
Validation - Trees: 5, k values: [1, 3, 5], Sample Size: 0.6, Feature Size: 0.6, Distance: euclidean, Accuracy: 0.8333
Validation - Trees: 5, k values: [1, 3, 5], Sample Size: 1.0, Feature Size: 0.8, Distance: chebyshev, Accuracy: 0.8462
Validation - Trees: 5, k values: [1, 3, 5], Sample Size: 1.0, Feature Size: 0.8, Distance: mahalanobis, Accuracy: 0.8077
Validation - Trees: 5, k values: [1, 3, 5], Sample Size: 1.0, Feature Size: 0.8, Distance: canberra, Accuracy: 0.8077
Validation - Trees: 5, k values: [1, 3, 5], Sample Size: 1.0, Feature Size: 1.0, Distance: euclidean, Accuracy: 0.8333
Validation - Trees: 5, k values: [1, 3, 5], Sample Size: 1.0, Feature Size: 1.0, Distance: chebyshev, Accuracy: 0.8333
Validation - Trees: 5, k values: [1, 3, 5], Sample Size: 1.0, Feature Size: 1.0, Distance: mahalanobis, Accuracy: 0.8077
Validation - Trees: 5, k values: [1, 3, 5], Sample Size: 1.0, Feature Size: 1.0, Distance: canberra, Accuracy: 0.8333
Validation - Trees: 5, k values: [3, 5, 7], Sample Size: 0.6, Feature Size: 0.6, Distance: euclidean, Accuracy: 0.8205
Validation - Trees: 5, k values: [3, 5, 7], Sample Size: 0.6, Feature Size: 0.6, Distance: chebyshev, Accuracy: 0.8718
Validation - Trees: 5, k values: [3, 5, 7], Sample Size: 0.6, Feature Size: 0.6, Distance: mahalanobis, Accuracy: 0.8590
Validation - Trees: 5, k values: [3, 5, 7], Sample Size: 0.6, Feature Size: 0.6, Distance: canberra, Accuracy: 0.8205
Validation - Trees: 5, k values: [3, 5, 7], Sample Size: 0.6, Feature Size: 0.8, Distance: euclidean, Accuracy: 0.8205
Validation - Trees: 5, k values: [3, 5, 7], Sample Size: 0.6, Feature Size: 0.8, Distance: chebyshev, Accuracy: 0.8205
Validation - Trees: 5, k values: [3, 5, 7], Sample Size: 0.6, Feature Size: 0.8, Distance: mahalanobis, Accuracy: 0.8462
Validation - Trees: 5, k values: [3, 5, 7], Sample Size: 0.6, Feature Size: 0.8, Distance: canberra, Accuracy: 0.8333
Validation - Trees: 5, k values: [3, 5, 7], Sample Size: 0.6, Feature Size: 1.0, Distance: euclidean, Accuracy: 0.8205
Validation - Trees: 5, k values: [3, 5, 7], Sample Size: 0.6, Feature Size: 1.0, Distance: chebyshev, Accuracy: 0.8333
Validation - Trees: 5, k values: [3, 5, 7], Sample Size: 0.6, Feature Size: 1.0, Distance: mahalanobis, Accuracy: 0.8462
Validation - Trees: 5, k values: [3, 5, 7], Sample Size: 0.6, Feature Size: 1.0, Distance: canberra, Accuracy: 0.8718
Validation - Trees: 5, k values: [3, 5, 7], Sample Size: 0.8, Feature Size: 0.6, Distance: euclidean, Accuracy: 0.8205
Validation - Trees: 5, k values: [3, 5, 7], Sample Size: 0.8, Feature Size: 0.6, Distance: chebyshev, Accuracy: 0.7949
Validation - Trees: 5, k values: [3, 5, 7], Sample Size: 0.8, Feature Size: 0.6, Distance: mahalanobis, Accuracy: 0.8205
Validation - Trees: 5, k values: [3, 5, 7], Sample Size: 0.8, Feature Size: 0.6, Distance: canberra, Accuracy: 0.8205
Validation - Trees: 5, k values: [3, 5, 7], Sample Size: 0.8, Feature Size: 0.8, Distance: euclidean, Accuracy: 0.8718
Validation - Trees: 5, k values: [3, 5, 7], Sample Size: 0.8, Feature Size: 0.8, Distance: chebyshev, Accuracy: 0.8333
Validation - Trees: 5, k values: [3, 5, 7], Sample Size: 0.8, Feature Size: 0.8, Distance: mahalanobis, Accuracy: 0.8718
Validation - Trees: 5, k values: [3, 5, 7], Sample Size: 0.8, Feature Size: 0.8, Distance: canberra, Accuracy: 0.8205
Validation - Trees: 5, k values: [3, 5, 7], Sample Size: 0.8, Feature Size: 1.0, Distance: euclidean, Accuracy: 0.8205
Validation - Trees: 5, k values: [3, 5, 7], Sample Size: 0.8, Feature Size: 1.0, Distance: chebyshev, Accuracy: 0.8333
Validation - Trees: 5, k values: [3, 5, 7], Sample Size: 0.8, Feature Size: 1.0, Distance: mahalanobis, Accuracy: 0.8077
Validation - Trees: 5, k values: [3, 5, 7], Sample Size: 0.8, Feature Size: 1.0, Distance: canberra, Accuracy: 0.8205
Validation - Trees: 5, k values: [3, 5, 7], Sample Size: 1.0, Feature Size: 0.6, Distance: euclidean, Accuracy: 0.8590
Validation - Trees: 5, k values: [3, 5, 7], Sample Size: 1.0, Feature Size: 0.6, Distance: chebyshev, Accuracy: 0.8462
Validation - Trees: 5, k values: [3, 5, 7], Sample Size: 1.0, Feature Size: 0.6, Distance: mahalanobis, Accuracy: 0.8077
Validation - Trees: 5, k values: [3, 5, 7], Sample Size: 1.0, Feature Size: 0.6, Distance: canberra, Accuracy: 0.8462
Validation - Trees: 5, k values: [3, 5, 7], Sample Size: 1.0, Feature Size: 0.8, Distance: euclidean, Accuracy: 0.8077
Validation - Trees: 5, k values: [3, 5, 7], Sample Size: 1.0, Feature Size: 0.8, Distance: chebyshev, Accuracy: 0.8974
Validation - Trees: 5, k values: [3, 5, 7], Sample Size: 1.0, Feature Size: 0.8, Distance: mahalanobis, Accuracy: 0.8077
Validation - Trees: 5, k values: [3, 5, 7], Sample Size: 1.0, Feature Size: 0.8, Distance: canberra, Accuracy: 0.8462
Validation - Trees: 5, k values: [3, 5, 7], Sample Size: 1.0, Feature Size: 1.0, Distance: euclidean, Accuracy: 0.8462
Validation - Trees: 5, k values: [3, 5, 7], Sample Size: 1.0, Feature Size: 1.0, Distance: chebyshev, Accuracy: 0.8205
Validation - Trees: 5, k values: [3, 5, 7], Sample Size: 1.0, Feature Size: 1.0, Distance: mahalanobis, Accuracy: 0.8077
Validation - Trees: 5, k values: [3, 5, 7], Sample Size: 1.0, Feature Size: 1.0, Distance: canberra, Accuracy: 0.8333
Validation - Trees: 5, k values: [5, 7, 9], Sample Size: 0.6, Feature Size: 0.6, Distance: euclidean, Accuracy: 0.8590
Validation - Trees: 5, k values: [5, 7, 9], Sample Size: 0.6, Feature Size: 0.6, Distance: chebyshev, Accuracy: 0.8590
Validation - Trees: 5, k values: [5, 7, 9], Sample Size: 0.6, Feature Size: 0.6, Distance: mahalanobis, Accuracy: 0.8205
Validation - Trees: 5, k values: [5, 7, 9], Sample Size: 0.6, Feature Size: 0.6, Distance: canberra, Accuracy: 0.8333
Validation - Trees: 5, k values: [5, 7, 9], Sample Size: 0.6, Feature Size: 0.8, Distance: euclidean, Accuracy: 0.8846
Validation - Trees: 5, k values: [5, 7, 9], Sample Size: 0.6, Feature Size: 0.8, Distance: chebyshev, Accuracy: 0.8718
Validation - Trees: 5, k values: [5, 7, 9], Sample Size: 0.6, Feature Size: 0.8, Distance: mahalanobis, Accuracy: 0.8077
Validation - Trees: 5, k values: [5, 7, 9], Sample Size: 0.6, Feature Size: 0.8, Distance: canberra, Accuracy: 0.8333
Validation - Trees: 5, k values: [5, 7, 9], Sample Size: 0.6, Feature Size: 1.0, Distance: euclidean, Accuracy: 0.8333
Validation - Trees: 5, k values: [5, 7, 9], Sample Size: 0.6, Feature Size: 1.0, Distance: chebyshev, Accuracy: 0.8077
Validation - Trees: 5, k values: [5, 7, 9], Sample Size: 0.6, Feature Size: 1.0, Distance: mahalanobis, Accuracy: 0.8590
Validation - Trees: 5, k values: [5, 7, 9], Sample Size: 0.6, Feature Size: 1.0, Distance: canberra, Accuracy: 0.8462
Validation - Trees: 5, k values: [5, 7, 9], Sample Size: 0.8, Feature Size: 0.6, Distance: euclidean, Accuracy: 0.8333
Validation - Trees: 5, k values: [5, 7, 9], Sample Size: 0.8, Feature Size: 0.6, Distance: chebyshev, Accuracy: 0.8590
Validation - Trees: 5, k values: [5, 7, 9], Sample Size: 0.8, Feature Size: 0.6, Distance: mahalanobis, Accuracy: 0.8205
Validation - Trees: 5, k values: [5, 7, 9], Sample Size: 0.8, Feature Size: 0.6, Distance: canberra, Accuracy: 0.8205
Validation - Trees: 5, k values: [5, 7, 9], Sample Size: 0.8, Feature Size: 0.8, Distance: euclidean, Accuracy: 0.8077
Validation - Trees: 5, k values: [5, 7, 9], Sample Size: 0.8, Feature Size: 0.8, Distance: chebyshev, Accuracy: 0.8333
Validation - Trees: 5, k values: [5, 7, 9], Sample Size: 0.8, Feature Size: 0.8, Distance: mahalanobis, Accuracy: 0.8718
Validation - Trees: 5, k values: [5, 7, 9], Sample Size: 0.8, Feature Size: 0.8, Distance: canberra, Accuracy: 0.8462
Validation - Trees: 5, k values: [5, 7, 9], Sample Size: 0.8, Feature Size: 1.0, Distance: euclidean, Accuracy: 0.8205
Validation - Trees: 5, k values: [5, 7, 9], Sample Size: 0.8, Feature Size: 1.0, Distance: chebyshev, Accuracy: 0.8590
Validation - Trees: 5, k values: [5, 7, 9], Sample Size: 0.8, Feature Size: 1.0, Distance: mahalanobis, Accuracy: 0.8590
Validation - Trees: 5, k values: [5, 7, 9], Sample Size: 0.8, Feature Size: 1.0, Distance: canberra, Accuracy: 0.8333
Validation - Trees: 5, k values: [5, 7, 9], Sample Size: 1.0, Feature Size: 0.6, Distance: euclidean, Accuracy: 0.7949
Validation - Trees: 5, k values: [5, 7, 9], Sample Size: 1.0, Feature Size: 0.6, Distance: chebyshev, Accuracy: 0.8333
Validation - Trees: 5, k values: [5, 7, 9], Sample Size: 1.0, Feature Size: 0.6, Distance: mahalanobis, Accuracy: 0.8590
Validation - Trees: 5, k values: [5, 7, 9], Sample Size: 1.0, Feature Size: 0.6, Distance: canberra, Accuracy: 0.8462
Validation - Trees: 5, k values: [5, 7, 9], Sample Size: 1.0, Feature Size: 0.8, Distance: euclidean, Accuracy: 0.8077
Validation - Trees: 5, k values: [5, 7, 9], Sample Size: 1.0, Feature Size: 0.8, Distance: chebyshev, Accuracy: 0.7821
Validation - Trees: 5, k values: [5, 7, 9], Sample Size: 1.0, Feature Size: 0.8, Distance: mahalanobis, Accuracy: 0.8077
Validation - Trees: 5, k values: [5, 7, 9], Sample Size: 1.0, Feature Size: 0.8, Distance: canberra, Accuracy: 0.8077
Validation - Trees: 5, k values: [5, 7, 9], Sample Size: 1.0, Feature Size: 1.0, Distance: euclidean, Accuracy: 0.8205
Validation - Trees: 5, k values: [5, 7, 9], Sample Size: 1.0, Feature Size: 1.0, Distance: chebyshev, Accuracy: 0.8077
Validation - Trees: 5, k values: [5, 7, 9], Sample Size: 1.0, Feature Size: 1.0, Distance: mahalanobis, Accuracy: 0.8333
Validation - Trees: 5, k values: [5, 7, 9], Sample Size: 1.0, Feature Size: 1.0, Distance: canberra, Accuracy: 0.8462
Validation - Trees: 10, k values: [1, 3, 5], Sample Size: 0.6, Feature Size: 0.6, Distance: euclidean, Accuracy: 0.8205
Validation - Trees: 10, k values: [1, 3, 5], Sample Size: 0.6, Feature Size: 0.6, Distance: chebyshev, Accuracy: 0.8462
Validation - Trees: 10, k values: [1, 3, 5], Sample Size: 0.6, Feature Size: 0.6, Distance: mahalanobis, Accuracy: 0.8205
Validation - Trees: 10, k values: [1, 3, 5], Sample Size: 0.6, Feature Size: 0.6, Distance: canberra, Accuracy: 0.8205
Validation - Trees: 10, k values: [1, 3, 5], Sample Size: 0.6, Feature Size: 0.8, Distance: euclidean, Accuracy: 0.8462
Validation - Trees: 10, k values: [1, 3, 5], Sample Size: 0.6, Feature Size: 0.8, Distance: chebyshev, Accuracy: 0.8205
Validation - Trees: 10, k values: [1, 3, 5], Sample Size: 0.6, Feature Size: 0.8, Distance: mahalanobis, Accuracy: 0.8205
Validation - Trees: 10, k values: [1, 3, 5], Sample Size: 0.6, Feature Size: 0.8, Distance: canberra, Accuracy: 0.8462
Validation - Trees: 10, k values: [1, 3, 5], Sample Size: 0.6, Feature Size: 1.0, Distance: euclidean, Accuracy: 0.8590
Validation - Trees: 10, k values: [1, 3, 5], Sample Size: 0.6, Feature Size: 1.0, Distance: chebyshev, Accuracy: 0.8846
Validation - Trees: 10, k values: [1, 3, 5], Sample Size: 0.6, Feature Size: 1.0, Distance: mahalanobis, Accuracy: 0.8333
Validation - Trees: 10, k values: [1, 3, 5], Sample Size: 0.6, Feature Size: 1.0, Distance: canberra, Accuracy: 0.8205
Validation - Trees: 10, k values: [1, 3, 5], Sample Size: 0.8, Feature Size: 0.6, Distance: euclidean, Accuracy: 0.7821
Validation - Trees: 10, k values: [1, 3, 5], Sample Size: 0.8, Feature Size: 0.6, Distance: chebyshev, Accuracy: 0.8462
Validation - Trees: 10, k values: [1, 3, 5], Sample Size: 0.8, Feature Size: 0.6, Distance: mahalanobis, Accuracy: 0.8462
Validation - Trees: 10, k values: [1, 3, 5], Sample Size: 0.8, Feature Size: 0.6, Distance: canberra, Accuracy: 0.8590
Validation - Trees: 10, k values: [1, 3, 5], Sample Size: 0.8, Feature Size: 0.8, Distance: euclidean, Accuracy: 0.8590
Validation - Trees: 10, k values: [1, 3, 5], Sample Size: 0.8, Feature Size: 0.8, Distance: chebyshev, Accuracy: 0.8462
Validation - Trees: 10, k values: [1, 3, 5], Sample Size: 0.8, Feature Size: 0.8, Distance: mahalanobis, Accuracy: 0.8205
Validation - Trees: 10, k values: [1, 3, 5], Sample Size: 0.8, Feature Size: 0.8, Distance: canberra, Accuracy: 0.8462
Validation - Trees: 10, k values: [1, 3, 5], Sample Size: 0.8, Feature Size: 1.0, Distance: euclidean, Accuracy: 0.8333
Validation - Trees: 10, k values: [1, 3, 5], Sample Size: 0.8, Feature Size: 1.0, Distance: chebyshev, Accuracy: 0.8205
Validation - Trees: 10, k values: [1, 3, 5], Sample Size: 0.8, Feature Size: 1.0, Distance: mahalanobis, Accuracy: 0.8205
Validation - Trees: 10, k values: [1, 3, 5], Sample Size: 0.8, Feature Size: 1.0, Distance: canberra, Accuracy: 0.8077
Validation - Trees: 10, k values: [1, 3, 5], Sample Size: 1.0, Feature Size: 0.6, Distance: euclidean, Accuracy: 0.8462
Validation - Trees: 10, k values: [1, 3, 5], Sample Size: 1.0, Feature Size: 0.6, Distance: chebyshev, Accuracy: 0.8333
Validation - Trees: 10, k values: [1, 3, 5], Sample Size: 1.0, Feature Size: 0.6, Distance: mahalanobis, Accuracy: 0.8462
Validation - Trees: 10, k values: [1, 3, 5], Sample Size: 1.0, Feature Size: 0.6, Distance: canberra, Accuracy: 0.8846
Validation - Trees: 10, k values: [1, 3, 5], Sample Size: 1.0, Feature Size: 0.8, Distance: euclidean, Accuracy: 0.8462
Validation - Trees: 10, k values: [1, 3, 5], Sample Size: 1.0, Feature Size: 0.8, Distance: chebyshev, Accuracy: 0.8462
Validation - Trees: 10, k values: [1, 3, 5], Sample Size: 1.0, Feature Size: 0.8, Distance: mahalanobis, Accuracy: 0.8333
Validation - Trees: 10, k values: [1, 3, 5], Sample Size: 1.0, Feature Size: 0.8, Distance: canberra, Accuracy: 0.8205
Validation - Trees: 10, k values: [1, 3, 5], Sample Size: 1.0, Feature Size: 1.0, Distance: euclidean, Accuracy: 0.8333
Validation - Trees: 10, k values: [1, 3, 5], Sample Size: 1.0, Feature Size: 1.0, Distance: chebyshev, Accuracy: 0.8462
Validation - Trees: 10, k values: [1, 3, 5], Sample Size: 1.0, Feature Size: 1.0, Distance: mahalanobis, Accuracy: 0.7436
Validation - Trees: 10, k values: [1, 3, 5], Sample Size: 1.0, Feature Size: 1.0, Distance: canberra, Accuracy: 0.8205
Validation - Trees: 10, k values: [3, 5, 7], Sample Size: 0.6, Feature Size: 0.6, Distance: euclidean, Accuracy: 0.8590
Validation - Trees: 10, k values: [3, 5, 7], Sample Size: 0.6, Feature Size: 0.6, Distance: chebyshev, Accuracy: 0.8333
Validation - Trees: 10, k values: [3, 5, 7], Sample Size: 0.6, Feature Size: 0.6, Distance: mahalanobis, Accuracy: 0.8462
Validation - Trees: 10, k values: [3, 5, 7], Sample Size: 0.6, Feature Size: 0.6, Distance: canberra, Accuracy: 0.8077
Validation - Trees: 10, k values: [3, 5, 7], Sample Size: 0.6, Feature Size: 0.8, Distance: euclidean, Accuracy: 0.8462
Validation - Trees: 10, k values: [3, 5, 7], Sample Size: 0.6, Feature Size: 0.8, Distance: chebyshev, Accuracy: 0.8462
Validation - Trees: 10, k values: [3, 5, 7], Sample Size: 0.6, Feature Size: 0.8, Distance: mahalanobis, Accuracy: 0.8333
Validation - Trees: 10, k values: [3, 5, 7], Sample Size: 0.6, Feature Size: 0.8, Distance: canberra, Accuracy: 0.8333
Validation - Trees: 10, k values: [3, 5, 7], Sample Size: 0.6, Feature Size: 1.0, Distance: euclidean, Accuracy: 0.8462
Validation - Trees: 10, k values: [3, 5, 7], Sample Size: 0.6, Feature Size: 1.0, Distance: chebyshev, Accuracy: 0.8077
Validation - Trees: 10, k values: [3, 5, 7], Sample Size: 0.6, Feature Size: 1.0, Distance: mahalanobis, Accuracy: 0.8205
Validation - Trees: 10, k values: [3, 5, 7], Sample Size: 0.6, Feature Size: 1.0, Distance: canberra, Accuracy: 0.8462
Validation - Trees: 10, k values: [3, 5, 7], Sample Size: 0.8, Feature Size: 0.6, Distance: euclidean, Accuracy: 0.8333
Validation - Trees: 10, k values: [3, 5, 7], Sample Size: 0.8, Feature Size: 0.6, Distance: chebyshev, Accuracy: 0.8333
Validation - Trees: 10, k values: [3, 5, 7], Sample Size: 0.8, Feature Size: 0.6, Distance: mahalanobis, Accuracy: 0.8462
Validation - Trees: 10, k values: [3, 5, 7], Sample Size: 0.8, Feature Size: 0.6, Distance: canberra, Accuracy: 0.8077
Validation - Trees: 10, k values: [3, 5, 7], Sample Size: 0.8, Feature Size: 0.8, Distance: euclidean, Accuracy: 0.8205
Validation - Trees: 10, k values: [3, 5, 7], Sample Size: 0.8, Feature Size: 0.8, Distance: chebyshev, Accuracy: 0.8974
Validation - Trees: 10, k values: [3, 5, 7], Sample Size: 0.8, Feature Size: 0.8, Distance: mahalanobis, Accuracy: 0.8333
Validation - Trees: 10, k values: [3, 5, 7], Sample Size: 0.8, Feature Size: 0.8, Distance: canberra, Accuracy: 0.8462
Validation - Trees: 10, k values: [3, 5, 7], Sample Size: 0.8, Feature Size: 1.0, Distance: euclidean, Accuracy: 0.8462
Validation - Trees: 10, k values: [3, 5, 7], Sample Size: 0.8, Feature Size: 1.0, Distance: chebyshev, Accuracy: 0.8333
Validation - Trees: 10, k values: [3, 5, 7], Sample Size: 0.8, Feature Size: 1.0, Distance: mahalanobis, Accuracy: 0.8205
Validation - Trees: 10, k values: [3, 5, 7], Sample Size: 0.8, Feature Size: 1.0, Distance: canberra, Accuracy: 0.8462
Validation - Trees: 10, k values: [3, 5, 7], Sample Size: 1.0, Feature Size: 0.6, Distance: euclidean, Accuracy: 0.8590
Validation - Trees: 10, k values: [3, 5, 7], Sample Size: 1.0, Feature Size: 0.6, Distance: chebyshev, Accuracy: 0.8333
Validation - Trees: 10, k values: [3, 5, 7], Sample Size: 1.0, Feature Size: 0.6, Distance: mahalanobis, Accuracy: 0.8333
Validation - Trees: 10, k values: [3, 5, 7], Sample Size: 1.0, Feature Size: 0.6, Distance: canberra, Accuracy: 0.8462
Validation - Trees: 10, k values: [3, 5, 7], Sample Size: 1.0, Feature Size: 0.8, Distance: euclidean, Accuracy: 0.8333
Validation - Trees: 10, k values: [3, 5, 7], Sample Size: 1.0, Feature Size: 0.8, Distance: chebyshev, Accuracy: 0.8718
Validation - Trees: 10, k values: [3, 5, 7], Sample Size: 1.0, Feature Size: 0.8, Distance: mahalanobis, Accuracy: 0.8462
Validation - Trees: 10, k values: [3, 5, 7], Sample Size: 1.0, Feature Size: 0.8, Distance: canberra, Accuracy: 0.8462
Validation - Trees: 10, k values: [3, 5, 7], Sample Size: 1.0, Feature Size: 1.0, Distance: euclidean, Accuracy: 0.8077
Validation - Trees: 10, k values: [3, 5, 7], Sample Size: 1.0, Feature Size: 1.0, Distance: chebyshev, Accuracy: 0.8718
Validation - Trees: 10, k values: [3, 5, 7], Sample Size: 1.0, Feature Size: 1.0, Distance: mahalanobis, Accuracy: 0.8077
Validation - Trees: 10, k values: [3, 5, 7], Sample Size: 1.0, Feature Size: 1.0, Distance: canberra, Accuracy: 0.8590
Validation - Trees: 10, k values: [5, 7, 9], Sample Size: 0.6, Feature Size: 0.6, Distance: euclidean, Accuracy: 0.8718
Validation - Trees: 10, k values: [5, 7, 9], Sample Size: 0.6, Feature Size: 0.6, Distance: chebyshev, Accuracy: 0.8333
Validation - Trees: 10, k values: [5, 7, 9], Sample Size: 0.6, Feature Size: 0.6, Distance: mahalanobis, Accuracy: 0.8718
Validation - Trees: 10, k values: [5, 7, 9], Sample Size: 0.6, Feature Size: 0.6, Distance: canberra, Accuracy: 0.8462
Validation - Trees: 10, k values: [5, 7, 9], Sample Size: 0.6, Feature Size: 0.8, Distance: euclidean, Accuracy: 0.8718
Validation - Trees: 10, k values: [5, 7, 9], Sample Size: 0.6, Feature Size: 0.8, Distance: chebyshev, Accuracy: 0.8846
Validation - Trees: 10, k values: [5, 7, 9], Sample Size: 0.6, Feature Size: 0.8, Distance: mahalanobis, Accuracy: 0.8846
Validation - Trees: 10, k values: [5, 7, 9], Sample Size: 0.6, Feature Size: 0.8, Distance: canberra, Accuracy: 0.8462
Validation - Trees: 10, k values: [5, 7, 9], Sample Size: 0.6, Feature Size: 1.0, Distance: euclidean, Accuracy: 0.8590
Validation - Trees: 10, k values: [5, 7, 9], Sample Size: 0.6, Feature Size: 1.0, Distance: chebyshev, Accuracy: 0.8077
Validation - Trees: 10, k values: [5, 7, 9], Sample Size: 0.6, Feature Size: 1.0, Distance: mahalanobis, Accuracy: 0.8718
Validation - Trees: 10, k values: [5, 7, 9], Sample Size: 0.6, Feature Size: 1.0, Distance: canberra, Accuracy: 0.8846
Validation - Trees: 10, k values: [5, 7, 9], Sample Size: 0.8, Feature Size: 0.6, Distance: euclidean, Accuracy: 0.8590
Validation - Trees: 10, k values: [5, 7, 9], Sample Size: 0.8, Feature Size: 0.6, Distance: chebyshev, Accuracy: 0.8462
Validation - Trees: 10, k values: [5, 7, 9], Sample Size: 0.8, Feature Size: 0.6, Distance: mahalanobis, Accuracy: 0.8718
Validation - Trees: 10, k values: [5, 7, 9], Sample Size: 0.8, Feature Size: 0.6, Distance: canberra, Accuracy: 0.8462
Validation - Trees: 10, k values: [5, 7, 9], Sample Size: 0.8, Feature Size: 0.8, Distance: euclidean, Accuracy: 0.8333
Validation - Trees: 10, k values: [5, 7, 9], Sample Size: 0.8, Feature Size: 0.8, Distance: chebyshev, Accuracy: 0.8718
Validation - Trees: 10, k values: [5, 7, 9], Sample Size: 0.8, Feature Size: 0.8, Distance: mahalanobis, Accuracy: 0.8590
Validation - Trees: 10, k values: [5, 7, 9], Sample Size: 0.8, Feature Size: 0.8, Distance: canberra, Accuracy: 0.8462
Validation - Trees: 10, k values: [5, 7, 9], Sample Size: 0.8, Feature Size: 1.0, Distance: euclidean, Accuracy: 0.8462
Validation - Trees: 10, k values: [5, 7, 9], Sample Size: 0.8, Feature Size: 1.0, Distance: chebyshev, Accuracy: 0.8718
Validation - Trees: 10, k values: [5, 7, 9], Sample Size: 0.8, Feature Size: 1.0, Distance: mahalanobis, Accuracy: 0.8718
Validation - Trees: 10, k values: [5, 7, 9], Sample Size: 0.8, Feature Size: 1.0, Distance: canberra, Accuracy: 0.9103
Validation - Trees: 10, k values: [5, 7, 9], Sample Size: 1.0, Feature Size: 0.6, Distance: euclidean, Accuracy: 0.8462
Validation - Trees: 10, k values: [5, 7, 9], Sample Size: 1.0, Feature Size: 0.6, Distance: chebyshev, Accuracy: 0.8462
Validation - Trees: 10, k values: [5, 7, 9], Sample Size: 1.0, Feature Size: 0.6, Distance: mahalanobis, Accuracy: 0.8718
Validation - Trees: 10, k values: [5, 7, 9], Sample Size: 1.0, Feature Size: 0.6, Distance: canberra, Accuracy: 0.8205
Validation - Trees: 10, k values: [5, 7, 9], Sample Size: 1.0, Feature Size: 0.8, Distance: euclidean, Accuracy: 0.8077
